Student_ID,Name,Hours_Studied,Attendance,Scores
1,Student_1,2.5,85,21
2,Student_2,5.1,92,47
3,Student_3,3.2,78,27
4,Student_4,8.5,98,75
5,Student_5,3.5,81,30
6,Student_6,1.5,70,20
7,Student_7,9.2,99,88
8,Student_8,5.5,88,60
9,Student_9,8.3,95,81
10,Student_10,2.7,76,25
11,Student_11,7.7,94,85
12,Student_12,5.9,89,62
13,Student_13,4.5,84,41
14,Student_14,3.3,79,42
15,Student_15,1.1,68,17
16,Student_16,8.9,97,95
17,Student_17,2.5,83,30
18,Student_18,1.9,72,24
19,Student_19,6.1,90,67
20,Student_20,7.4,93,69
21,Student_21,2.7,80,30
22,Student_22,4.8,86,54
23,Student_23,3.8,82,35
24,Student_24,6.9,91,76
25,Student_25,7.8,96,86
