Student_ID,Name,Hours_Studied,Attendance,Scores
1,Student_1,2.5,85.0,21.0
2,Student_2,5.1,92.0,47.0
3,Student_3,3.2,78.0,27.0
4,Student_4,8.5,98.0,75.0
5,Student_5,3.5,81.0,30.0
6,Student_6,1.5,70.0,20.0
7,Student_7,9.2,99.0,88.0
8,Student_8,5.5,88.0,60.0
9,Student_9,8.3,95.0,81.0
10,Student_10,2.7,76.0,25.0
11,Student_11,7.7,94.0,85.0
12,Student_12,5.9,89.0,62.0
13,Student_13,4.5,84.0,41.0
14,Student_14,,79.0,42.0
15,Student_15,1.1,,17.0
16,Student_16,8.9,97.0,
17,Student_17,2.5,83.0,30.0
18,Student_18,1.9,72.0,24.0
19,Student_19,6.1,90.0,67.0
20,Student_20,7.4,93.0,69.0
21,Student_21,2.7,80.0,30.0
22,Student_22,4.8,86.0,54.0
23,Student_23,3.8,82.0,35.0
24,Student_24,6.9,91.0,76.0
25,Student_25,7.8,96.0,86.0
25,Student_25,7.8,96.0,86.0
